Obs,Age,Pop,CNTRY,deaths,ax,a,MID,LOW,HIGH,width,mx_base,mx_low,mx_mid,mx_high,qx_base,qx_low,qx_mid,qx_high,agecountry,lx_base,dx_base,Lx_base,Tx_base,ex_base,lx_low,dx_low,Lx_low,Tx_low,ex_low,lx_mid,dx_mid,Lx_mid,Tx_mid,ex_mid,lx_high,dx_high,Lx_high,Tx_high,ex_high,DIF_LOW,DIF_MID,DIF_HIGH
35,0,77689.57,BGR,708,0.08,,44,36,63,1,0.009113192,0.009119804,0.009121273,0.009124762,0.009037421,0.009043923,0.009045368,0.009048799,BGR0,100000,903.7421435,99168.55723,7898053.217,78.98053217,100000,904.39232,99167.95907,7897779.861,78.97779861,100000,904.5368026,99167.82614,7897719.122,78.97719122,100000,904.8799473,99167.51045,7897574.875,78.97574875,-0.002733556,-0.003340949,-0.004783415
36,1,277322.63,BGR,133,1.59,,44,36,63,4,0.000479586,0.000480543,0.000480756,0.000481261,0.000479032,0.000479987,0.0004802,0.000480704,BGR1,99096.25786,47.47029351,396270.628,7798884.66,78.7000925,99095.60768,47.56463168,396267.8,7798611.902,78.69785639,99095.4632,47.5855955,396267.1715,7798551.296,78.69735954,99095.12005,47.63538422,396265.6789,7798407.365,78.6961796,-0.002236108,-0.002732961,-0.003912902
37,5,319303.17,BGR,77,2.25,,44,36,63,5,0.00024115,0.000241508,0.000241588,0.000241777,0.00024099,0.000241348,0.000241427,0.000241616,BGR5,99048.78756,23.86979814,495178.2959,7402614.032,74.73704842,99048.04305,23.90502984,495174.4764,7402344.102,74.73488496,99047.8776,23.91285903,495173.6276,7402284.124,74.73440425,99047.48467,23.93145323,495171.6118,7402141.686,74.73326265,-0.00216346,-0.00264417,-0.003785771
38,10,315703.16,BGR,93,2.66,,44,36,63,5,0.000294581,0.000294943,0.000295023,0.000295214,0.000294378,0.000294739,0.000294819,0.00029501,BGR10,99024.91776,29.15071732,495056.3761,6907435.736,69.7545213,99024.13802,29.18628921,495052.3942,6907169.626,69.75238325,99023.96474,29.19419399,495051.5093,6907110.497,69.75190818,99023.55322,29.21296772,495049.4077,6906970.074,69.75077999,-0.002138055,-0.00261312,-0.003741313
39,15,409589.71,BGR,200,2.9,,44,36,63,5,0.000488294,0.000488969,0.00048912,0.000489476,0.000487793,0.000488468,0.000488618,0.000488974,BGR15,98995.76705,48.28947444,494877.4273,6412379.36,64.77427824,98994.95173,48.35585173,494873.2114,6412117.232,64.77216383,98994.77055,48.37060207,494872.2745,6412058.987,64.77169402,98994.34025,48.40563386,494870.0494,6411920.667,64.7705783,-0.002114413,-0.002584225,-0.003699941
40,20,496845.91,BGR,338,2.57,,44,36,63,5,0.000680291,0.000681317,0.000681545,0.000682086,0.000679169,0.000680191,0.000680418,0.000680958,BGR20,98947.47757,67.20202589,494574.0869,5917501.932,59.80447483,98946.59588,67.30257747,494569.4341,5917244.02,59.80240116,98946.39995,67.32492196,494568.4002,5917186.713,59.80194041,98945.93461,67.37798965,494565.9446,5917050.617,59.80084619,-0.00207367,-0.002534428,-0.003628642
41,25,500160.58,BGR,421,2.52,,44,36,63,5,0.00084173,0.000842984,0.000843263,0.000843924,0.000839976,0.000841225,0.000841503,0.000842162,BGR25,98880.27555,83.05708092,494195.3962,5422927.845,54.84337311,98879.2933,83.17974768,494190.1807,5422674.586,54.84135662,98879.07502,83.20700653,494189.0217,5422618.313,54.84090857,98878.55662,83.27174565,494186.2692,5422484.673,54.83984453,-0.002016493,-0.002464545,-0.003528584
42,30,551857.79,BGR,582,2.6,,44,36,63,5,0.00105462,0.001056366,0.001056754,0.001057675,0.001051957,0.001053694,0.00105408,0.001054997,BGR30,98797.21847,103.9304186,493736.6593,4928732.449,49.88736045,98796.11355,104.1008967,493730.7256,4928484.406,49.88540772,98795.86802,104.13878,493729.407,4928429.291,49.88497383,98795.28488,104.2287518,493726.2754,4928298.403,49.88394344,-0.001952733,-0.002386617,-0.003417008
43,35,542776.76,BGR,867,2.62,,44,36,63,5,0.001597342,0.001599602,0.001600104,0.001601297,0.001591292,0.001593535,0.001594034,0.001595218,BGR35,98693.28805,157.0498609,493092.6616,4434995.79,44.9371571,98692.01266,157.2692079,493085.7626,4434753.68,44.93528464,98691.72924,157.3179506,493084.2295,4434699.884,44.93486859,98691.05613,157.4337129,493080.5884,4434572.128,44.93388056,-0.001872466,-0.002288514,-0.003276546
44,40,503243.7,BGR,1460,2.79,,44,36,63,5,0.002901179,0.002904539,0.002905285,0.002907058,0.002882696,0.002886013,0.00288675,0.002888501,BGR40,98536.23819,284.0500376,492053.4404,3941903.128,40.00460339,98534.74345,284.3725623,492045.2539,3941667.917,40.00282316,98534.41129,284.4442325,492043.4347,3941615.655,40.00242761,98533.62241,284.6144462,492039.1141,3941491.54,40.00148825,-0.00178023,-0.002175782,-0.003115138
45,45,508846.31,BGR,2403,2.69,,44,36,63,5,0.004722448,0.004727892,0.004729102,0.004731975,0.004671487,0.004676814,0.004677998,0.00468081,BGR45,98252.18815,458.9838159,490200.6881,3449849.688,35.11219193,98250.37089,459.4987553,490190.4123,3449622.664,35.1105307,98249.96706,459.6131819,490188.1288,3449572.22,35.11016159,98249.00797,459.8849387,490182.7056,3449452.425,35.10928504,-0.001661229,-0.002030338,-0.002906894
46,50,526383.01,BGR,3850,2.67,,44,36,63,5,0.007314066,0.007320784,0.007322277,0.007325823,0.00719151,0.007198005,0.007199448,0.007202876,BGR50,97793.20433,703.2807848,487327.3774,2959649,30.26436264,97790.87213,703.8991609,487314.2756,2959432.251,30.26286796,97790.35387,704.0365711,487311.3642,2959384.091,30.26253586,97789.12303,704.3629106,487304.4496,2959269.72,30.2617472,-0.001494679,-0.00182678,-0.002615444
47,55,537432.07,BGR,5994,2.64,,44,36,63,5,0.011153037,0.011160297,0.01116191,0.011165742,0.010867005,0.010873897,0.010875428,0.010879066,BGR55,97089.92355,1055.076701,482959.6367,2472321.622,25.46424523,97086.97297,1055.713744,482943.3804,2472117.976,25.46292154,97086.3173,1055.855301,482939.768,2472072.727,25.46262744,97084.76012,1056.191486,482931.1887,2471965.27,25.46192901,-0.001323685,-0.001617789,-0.002316217
48,60,523067.92,BGR,8639,2.61,,44,36,63,5,0.01651602,0.016522285,0.016523677,0.016526984,0.015888835,0.015894633,0.015895922,0.015898982,BGR60,96034.84685,1525.881838,476527.3766,1989361.986,20.71500139,96031.25922,1526.381649,476508.244,1989174.595,20.71382393,96030.462,1526.492711,476503.9924,1989132.959,20.71356232,96028.56863,1526.756472,476493.8952,1989034.082,20.71294105,-0.001177459,-0.001439071,-0.002060334
49,65,750709.29,BGR,9706,2.63,,44,36,63,5,0.012929106,0.012932934,0.012933784,0.012935804,0.012544711,0.012548314,0.012549115,0.012551017,BGR65,94508.96501,1185.587673,469734.9823,1512834.609,16.00731326,94504.87758,1185.876922,469713.8596,1512666.351,16.00622518,94503.96929,1185.941195,469709.1658,1512628.967,16.00598343,94501.81216,1186.093837,469698.0184,1512540.186,16.00540933,-0.001088081,-0.001329833,-0.001903929
50,75,305032.66,BGR,19048,2.59,,44,36,63,5,0.062445772,0.062458301,0.062461086,0.062467698,0.054277341,0.054286807,0.05428891,0.054293905,BGR75,93323.37734,5065.344788,454409.4057,1043099.627,11.17725972,93319.00065,5065.990545,454385.9661,1042952.492,11.17620725,93318.0281,5066.134031,454380.7575,1042919.801,11.17597341,93315.71832,5066.474787,454368.3874,1042842.168,11.1754181,-0.001052474,-0.001286314,-0.001841619
51,80,286060.8,BGR,42887.01,12.46,,44,36,63,5,0.149922709,0.149945684,0.149950789,0.149962915,1,1,1,1,BGR80,88258.03255,88258.03255,588690.2211,588690.2211,6.670103605,88253.01011,88253.01011,588566.5256,588566.5256,6.669081597,88251.89406,88251.89406,588539.0432,588539.0432,6.668854527,88249.24354,88249.24354,588473.7806,588473.7806,6.668315297,-0.001022008,-0.001249078,-0.001788308
52,0,81409,CHE,331,0.06,,1981,497,3247,1,0.00406589,0.004154626,0.004419587,0.004645625,0.004050409,0.004138464,0.004401302,0.004625426,CHE0,100000,405.0409116,99619.26154,8417894.73,84.1789473,100000,413.8464223,99610.98436,8411566.765,84.11566765,100000,440.1302278,99586.27759,8392884.116,83.92884116,100000,462.5426313,99565.20993,8377191.109,83.77191109,-0.063279651,-0.250106137,-0.407036207
53,1,330201,CHE,38,1.66,,1981,497,3247,4,0.000115081,0.000120713,0.00013753,0.000151876,0.00011505,0.000120679,0.000137486,0.000151822,CHE1,99594.95909,11.45844368,398353.0236,8318275.468,83.5210491,99586.15358,12.01798771,398316.4922,8311955.78,83.46497461,99559.86977,13.68806235,398207.449,8293297.838,83.29960513,99537.45737,15.11200177,398114.4674,8277625.899,83.16091367,-0.056074486,-0.221443974,-0.360135431
