Age,Pop,CNTRY,deaths,ax,MID,LOW,HIGH,meanval,upperval,lowerval,countmeanval,countupperval,countlowerval,perdist,width,mx_base,mx_low,mx_mid,mx_high,qx_base,qx_low,qx_mid,qx_high,lx_base,dx_base,Lx_base,Tx_base,ex_base,lx_low,dx_low,Lx_low,Tx_low,ex_low,lx_mid,dx_mid,Lx_mid,Tx_mid,ex_mid,lx_high,dx_high,Lx_high,Tx_high,ex_high,DIF_LOW,DIF_MID,DIF_HIGH
45,1285478,NLD,2152,2.72,1984,126,4114,0.0578519786,0.0976212249,0.0415342252,7.132853159100001,9.7007663255,4.820580218,0.008110636418498705,5,0.0016740854374792879,0.0016748804259495151,0.0016866033511692162,0.0017000424419754395,0.0016677198927426721,0.001668508845551975,0.0016801424379540638,0.001693478355993596,99315.57847008218,165.63056587380188,496200.25466021866,4298177.00398163,43.2779738102861,99315.06114647891,165.70805801943533,496197.49136011023,4296998.467936405,43.266332601847765,99307.43307790572,166.85063271847255,496156.7459469305,4279936.09092138,43.097842309183555,99298.68923165627,168.16018099234427,496110.04094561876,4261076.911505881,42.9117135832993,-0.01164120843833416,-0.18013150110254372,-0.36626022698679606
50,1253267,NLD,3647,2.71,1984,126,4114,0.0784142184,0.1216309204,0.0570087286,7.132853159100001,9.7007663255,4.820580218,0.010993387449727627,5,0.0029099944385354436,0.0029110996833226007,0.002927397658041151,0.0029460815580145167,0.002890730933483441,0.0028918215910207334,0.002907903825001252,0.0029263389340640424,99149.94790420838,286.61582145996687,495093.3892898986,3801976.7493214114,38.3457261419301,99149.35308845947,286.7222399969453,495090.17151270434,3800800.9765762947,38.334097582918986,99140.58244518725,288.291278905212,495042.72519724333,3783779.3449744494,38.16579700917555,99130.52905066393,290.08952671532444,494988.3402371416,3764966.8705602624,37.97989284043921,-0.011628559011114703,-0.1799291327545518,-0.36583330149088766
55,1131309,NLD,5335,2.7,1984,126,4114,0.0994319151,0.149685991,0.073096553,7.132853159100001,9.7007663255,4.820580218,0.013939991877324164,5,0.004715776149575403,0.0047173287218404015,0.004740223001748073,0.004766468866227805,0.004665176316994139,0.004666695744733145,0.00468910002818257,0.004714781292274199,98863.33208274841,461.21487545156475,493255.8662002035,3306883.360031513,33.44903808485494,98862.63084846253,461.3618186936439,493252.0220593173,3305710.8050635904,33.437414892697035,98852.29116628204,463.5282812937247,493195.3407844347,3288736.619777206,33.26919974211964,98840.4395239486,466.01105518767224,493130.37219281134,3269978.5303231208,33.08340741980229,-0.011623192157905748,-0.17983834273530164,-0.36563066505264885
60,1044204,NLD,7880,2.64,1984,126,4114,0.1135613241,0.17255476120000002,0.0812606545,7.132853159100001,9.7007663255,4.820580218,0.01592088349037719,5,0.007546418132855266,0.007548339243404342,0.007576668000548656,0.007609143916973514,0.007414371536039491,0.0074162259956627435,0.0074435699982164745,0.007474912579003689,98402.11720729685,729.5898569078036,490288.75397418183,2813627.4938313095,28.5931601238217,98401.2690297689,729.7660493847753,490284.09727229644,2812458.783004273,28.581529595450974,98388.76288498832,732.3636435723337,490215.4362261109,2795541.278992771,28.413217089238362,98374.42846876093,735.3402528134397,490136.7393471649,2776848.158130309,28.227337137842735,-0.011630528370726978,-0.1799430345833386,-0.3658229859789657
65,985760,NLD,11725,2.68,1984,126,4114,0.1794941056,0.250421556,0.1311700225,7.132853159100001,9.7007663255,4.820580218,0.025164419005458395,5,0.011894375913001137,0.011897592433041195,0.01194502333966364,0.011999397845102717,0.011574965299784197,0.01157801136490223,0.011622923602269804,0.011674398889156399,97672.52735038903,1130.556114822976,485739.7465655559,2323338.7398571274,23.78702387338064,97671.50298038412,1130.8417715339694,485733.96199196175,2322174.6857319768,23.775355296809053,97656.39924141599,1135.052867655737,485648.6735541186,2305325.8427666603,23.606500553718693,97639.08821594749,1139.8776630065008,485550.9249015624,2286711.418783144,23.420040688270717,-0.011668576571587153,-0.18052331966194757,-0.3669831851099232
70,688947,NLD,13287,2.65,1984,126,4114,0.388863573,0.5147032016,0.2859568052,7.132853159100001,9.7007663255,4.820580218,0.054517254782385775,5,0.019285953781640677,0.019295924322339137,0.0194429502320037,0.019611499848572873,0.018449773314396175,0.018458897808644077,0.018593400418403665,0.018747484087420198,96541.97123556607,1781.1774846211501,478524.0890889707,1837598.9932915717,19.034197973933644,96540.66120885014,1782.0341996330942,478515.52567511296,1836440.7237400152,19.022458524156697,96521.34637376024,1794.6600420507589,478389.2807699819,1819677.1692125418,18.85258792564076,96499.21055294099,1809.1174142898724,478244.62684112374,1801160.4938815818,18.665028279101172,-0.011739449776946742,-0.1816100482928853,-0.36916969483247186
75,527228,NLD,17287,2.67,1984,126,4114,0.9019695426000001,1.1977208668,0.5942254029,7.132853159100001,9.7007663255,4.820580218,0.12645284046669025,5,0.032788471022024625,0.03281869145397969,0.03326432290296781,0.03377519210982718,0.030461313840676876,0.03048739501791423,0.030871593145000674,0.031311125583344146,94760.79375094491,2886.538278239185,467078.3345664273,1359074.904202601,14.342164627436427,94758.62700921706,2888.943692985197,467061.8962414297,1357925.198064902,14.330359576999975,94726.68633170948,2924.3637204066317,466819.6641899999,1341287.8884425599,14.15955672455068,94690.09313865111,2964.8533977628585,466542.3572764681,1322915.8670404581,13.971006080893412,-0.011805050436452191,-0.18260790288574746,-0.3711585465430147
80,717098.14,NLD,73859.99,13.809999999999999,1984,126,4114,5.1105759486,6.8652653862,3.4056045661,7.132853159100001,9.7007663255,4.820580218,0.7164841101600409,5,0.10299844035294807,0.10312433246289018,0.1049807415126715,0.10710891765693105,1,1,1,1,91874.25547270573,91874.25547270573,891996.5696361737,891996.5696361737,9.708884877996868,91869.68331623185,91869.68331623185,890863.3018234724,890863.3018234724,9.697032466705712,91802.32261130285,91802.32261130285,874468.22425256,874468.22425256,9.525556645828196,91725.23974088825,91725.23974088825,856373.5097639901,856373.5097639901,9.33629077648783,-0.011852411291155107,-0.18332823216867133,-0.37259410150903705
0,59335,NOR,144,0.14,15,4,34,0.1108717093,0.1553047641,0.0755956097,20.674270517,28.6961765461,14.7725655501,0.005362787006624133,1,0.0024268981208393024,0.00242725964688677,0.002428253843517306,0.0024299710922427776,0.002421843413023194,0.0024222034345649577,0.002423193492652882,0.0024249035890072015,1e5,242.1843413023194,99791.72146648001,8764490.475796139,87.64490475796138,1e5,242.22034345649578,99791.6905046274,8764393.980315125,87.64393980315124,1e5,242.31934926528822,99791.60535963185,8764128.688610997,87.64128688610997,1e5,242.49035890072014,99791.45829134538,8763670.702130778,87.63670702130777,-9.649548101435812e-4,-0.003617871851417931,-0.008197736653613674
1,252577,NOR,29,1.72,15,4,34,0.0721151764,0.1077852835,0.0373680039,20.674270517,28.6961765461,14.7725655501,0.003488160626547924,4,1.1481647180859699e-4,1.148717129529062e-4,1.1502362609975658e-4,1.1528602153522542e-4,1.1478642284024992e-4,1.148416350667346e-4,1.1499346861787344e-4,1.1525572632217063e-4,99757.81565869768,11.450842809818978,399005.15471318434,8664698.754329659,86.8573424259235,99757.7796565435,11.45634652638449,399004.9981560939,8664602.289810497,86.85640678493341,99757.68065073472,11.471481719302105,399004.5676246189,8664337.083251365,86.85383447903519,99757.50964109928,11.497624229775838,399003.8239811532,8663879.243839433,86.84939384523274,-9.35640990093134e-4,-0.0035079468883196796,-0.007948580690765539
