"Age"	"Pop"	"CNTRY"	"deaths"	"ax"	"MID"	"LOW"	"HIGH"	"meanval"	"upperval"	"lowerval"	"countmeanval"	"countupperval"	"countlowerval"	"perdist"	"width"	"mx_base"	"mx_low"	"mx_mid"	"mx_high"	"qx_base"	"qx_low"	"qx_mid"	"qx_high"
"11"	45	711505	"AUT"	1316	2.72	467	121	797	0.4792716891	0.6485011683	0.2184094273	13.5919130254	18.1594368894	8.4981025802	0.0352615329574547	5	0.00184960049472597	0.0018555971433621	0.00187274458491666	0.00188909908119703	0.00184183331945894	0.00184777962847374	0.00186478223023856	0.00188099735115843
"12"	50	673175	"AUT"	2135	2.72	467	121	797	0.5996924392	0.8129329762	0.2743142726	13.5919130254	18.1594368894	8.4981025802	0.0441212681452066	5	0.00317153786162588	0.00317946844943079	0.00320214599802995	0.00322377487386152	0.00314876877978794	0.00315658576557378	0.00317893692011817	0.00320025235750202
"13"	55	558076	"AUT"	2949	2.67	467	121	797	0.7571185826	0.993919066	0.3726355453	13.5919130254	18.1594368894	8.4981025802	0.0557036070776151	5	0.00528422652111899	0.00529630397375338	0.00533083949946826	0.00536377800665296	0.00521995711563614	0.00523174224320206	0.00526543824902249	0.00529757106787759
"14"	60	470053	"AUT"	3997	2.66	467	121	797	0.8209264887	1.0983434185	0.3991088533	13.5919130254	18.1594368894	8.4981025802	0.0603981564012282	5	0.00850329643678479	0.00851884399615479	0.00856330230641943	0.0086057047410649	0.00833740121472828	0.00835234750786916	0.00839508061161562	0.00843582949757401
"15"	65	863845	"AUT"	5571	2.62	467	121	797	0.9784593295	1.2971756132	0.5086620058	13.5919130254	18.1594368894	8.4981025802	0.0719883453985834	5	0.0064490736185311	0.00645915712864371	0.00648799096747812	0.00651549144960343	0.00635158444954269	0.00636136517250324	0.00638933063912788	0.00641599938348882
"16"	75	266641	"AUT"	8333	2.66	467	121	797	1.7035697783	2.2399362387	1.1196557807	13.5919130254	18.1594368894	8.4981025802	0.12533701290734	5	0.0312517579817057	0.0313086351257376	0.0314712755541261	0.0316263950378492	0.0291220856683482	0.0291714689523612	0.0293126130960649	0.0294471371444213
"17"	80	426214.01	"AUT"	43295	13.78	467	121	797	5.701599548	7.6574490959	4.0876858111	13.5919130254	18.1594368894	8.4981025802	0.419484699272655	5	0.101580424350668	0.101699513933416	0.102040051087388	0.102364840858517	1	1	1	1
"18"	0	124903	"BEL"	400	0.14	2841	91	5007	0.0685019081	0.0928911004	0.047926143	12.8876778564	17.1975737868	8.7742937018	0.00531530263739344	1	0.00320248512845968	0.00320635767387495	0.00332338514521537	0.00341556023718749	0.00319368927000248	0.00319754055938426	0.00331391361152397	0.00340555681656209
"19"	1	520762	"BEL"	86	1.46	2841	91	5007	0.027850471	0.0416066277	0.0158671547	12.8876778564	17.1975737868	8.7742937018	0.00216101545292502	4	0.000165142617932952	0.000165520242272317	0.000176931966813554	0.000185920256034034	0.000165073375883363	0.000165450683261886	0.000176852488032853	0.000185832498968533
"20"	5	653169	"BEL"	58	2.17	2841	91	5007	0.014888724	0.0199856668	0.011026429	12.8876778564	17.1975737868	8.7742937018	0.00115526816901357	5	8.87978455805465e-05	8.89587984172247e-05	9.38227577673888e-05	9.76537890228271e-05	8.87755364743934e-05	8.89364083740753e-05	9.37978527111931e-05	9.76268088561672e-05
"21"	10	616452	"BEL"	58	2.71	2841	91	5007	0.0134620165	0.0183798073	0.0106698116	12.8876778564	17.1975737868	8.7742937018	0.00104456494412721	5	9.40868064342398e-05	9.42410040196407e-05	9.89008211608778e-05	0.000102571062589212	9.40665389718806e-05	9.42206700778869e-05	9.88784268899405e-05	0.000102546975562562
"22"	15	630120	"BEL"	143	2.8	2841	91	5007	0.0401416564	0.0589723585	0.0283611763	12.8876778564	17.1975737868	8.7742937018	0.00311473151697889	5	0.000226940900146004	0.000227390720129571	0.000240984181171423	0.00025169088539566	0.000226827651908699	0.000227277022620717	0.000240856487443929	0.000251551596258893
"23"	20	698786	"BEL"	300	2.69	2841	91	5007	0.0587987524	0.0851685678	0.0403297329	12.8876778564	17.1975737868	8.7742937018	0.00456240084949056	5	0.000429315985151391	0.000429910127674715	0.000447864984148799	0.000462006882011659	0.000428890645752053	0.000429483610767116	0.000447402116185533	0.00046151433734366
"24"	25	719235	"BEL"	312	2.61	2841	91	5007	0.0688209066	0.0998342149	0.0457878579	12.8876778564	17.1975737868	8.7742937018	0.0053400548467173	5	0.000433794239713028	0.00043446988118077	0.000454887617843297	0.000470969369701855	0.000433344961423131	0.000434019203011735	0.000454393609559685	0.000470439834723517
"25"	30	736721	"BEL"	442	2.54	2841	91	5007	0.1024947462	0.1449449962	0.0663383481	12.8876778564	17.1975737868	8.7742937018	0.00795292583675974	5	0.000599955749870032	0.000600938097666749	0.000630624432182922	0.000654006468750933	0.000599071585422078	0.000600051037585337	0.000629647637071258	0.000652955956698986
"26"	35	729580	"BEL"	608	2.63	2841	91	5007	0.1260661453	0.1704025249	0.079877978	12.8876778564	17.1975737868	8.7742937018	0.0097819131347542	5	0.000833356177526796	0.000834576268668635	0.000871447154823099	0.000900488005517852	0.000831713498337996	0.000832928780721137	0.00086965103865482	0.000898570315772075
"27"	40	766628	"BEL"	966	2.75	2841	91	5007	0.1511946927	0.2134015813	0.102020927	12.8876778564	17.1975737868	8.7742937018	0.0117317250155285	5	0.00126006355103127	0.00126145612601733	0.00130353943603562	0.00133668578130821	0.00125650119048935	0.00125788589830477	0.00129972738276169	0.0013326776958223
"28"	45	797598	"BEL"	1658	2.68	2841	91	5007	0.2390068084	0.3212842694	0.1545964926	12.8876778564	17.1975737868	8.7742937018	0.0185453741987591	5	0.0020787414211169	0.00208085731038955	0.00214479901917843	0.00219516183417359	0.00206876443206502	0.00207086004927774	0.0021341794835123	0.00218403901389027
"29"	50	816666	"BEL"	2696	2.7	2841	91	5007	0.3123855778	0.429205702	0.1831882981	12.8876778564	17.1975737868	8.7742937018	0.0242390895614193	5	0.00330122718467525	0.00330392811400265	0.00338554960466579	0.00344983765876628	0.00327635043727612	0.00327901079729625	0.00335939082085522	0.00342267997117184
